ID,Nome,Ascoltatori,Ascolti,Popolarità,PopolaritàLog
14022,Marie N,9993,48197,4.82259,1.76174
14023,Maya Sar,7673,82973,10.81222,2.46913
14024,Corinne Hermès,4843,24622,5.08298,1.80549
14025,Svala,12310,121840,9.89684,2.38847
14026,Evridiki,15849,129857,8.19287,2.21842
14027,Eythor Ingi,3441,19062,5.53805,1.87763
14028,Ethno - Jazz Band Iriao,4363,20895,4.78803,1.75579
14029,Nina Kraljic,11543,119170,10.32311,2.42684
14030,Lisa Angell,8243,58915,7.1464,2.09757
14031,Xandee,4749,32531,6.84863,2.06033
14032,Jóhanna Guðrún,4795,30800,6.42201,2.00444
14033,Colla Zio,8884,158310,17.81767,2.93479
14034,Alyona Lanskaya,10117,86142,8.51373,2.25273
14035,Monica Aspelund,4783,23933,5.00271,1.79221
14036,Izhar Cohan,3591,23609,6.57266,2.02454
14037,Gabriela Gunčíková,13889,133692,9.62505,2.36321
14038,Debbie Scerri,841,4666,5.54156,1.87817
14039,Maja Blagdan,1983,16042,8.08568,2.20669
14040,Vanessa Chinitor,1105,9033,8.16726,2.21563
14041,Francesco Di Bella,2127,25196,11.84022,2.55258
14042,Lucio Leoni,679,5625,8.27205,2.227
14043,Flavio Giurato,1337,36764,27.47683,3.34909
14044,Alvaro Amici,2546,12439,4.88378,1.77219
14045,Clan Mamacè,3991,11546,2.89228,1.35899
14046,Carlo Fava,4045,19561,4.83465,1.76381
14047,Vittorio Merlo,3732,38270,10.2518,2.42052
14048,L'Orchestra di Piazza Vittorio,10368,77201,7.44536,2.13361
14049,Abe Kayn,494,2812,5.6808,1.89923
14050,nudda,950,4266,4.4858,1.70216
14051,Missey,1239,6519,5.25725,1.83374
14052,Claudia Megrè,1076,7007,6.50603,2.0157
14053,Red Canzian,568,4362,7.66608,2.15941
14054,Chiara Dello Iacovo,1219,12695,10.40573,2.43411
14055,Tommaso Pini,486,2175,4.46611,1.69856
14056,Giulia Casieri,400,1783,4.44638,1.69495
14057,Roby Facchinetti,2169,14027,6.46405,2.01009
14058,Principe,2872,20205,7.03271,2.08352
14059,Mike Defunto,699,8843,12.63285,2.61248
14060,Fettuccine,775,3132,4.03608,1.61662
14061,Paolo Rossi,4592,17121,3.72762,1.55342
14062,Ricky Gianco,2176,11462,5.26504,1.83498
14063,Yo Yo Mundi,5773,44399,7.68947,2.16211
14064,Bobo Rondelli,8371,113795,13.59233,2.68049
14065,Beatrice Dellacasa,477,1446,3.0251,1.39254
14066,Nico Kyni,645,10008,15.49226,2.80289
14067,Simo Veludo,151,2410,15.85526,2.82466
14068,Stefano Rossi Crespi,1339,4808,3.58805,1.52345
14069,Luciano Virgili,1176,4607,3.91418,1.59212
14070,Tommaso Primo,1369,14241,10.39489,2.43316
14071,Fede 'N' Marlen,187,3213,17.09042,2.89538
14072,Lina Sastri,2510,15995,6.36997,1.99741
14073,Daniele Sepe,9010,120455,13.36755,2.66497
